Order,Category,FileName,Format,OriginalPath,SizeBytes,SHA256
14,14-NAT-va-PAT,6.5.6 Packet Tracer - Configure Dynamic NAT.pka,PKA,ccna-lap-s2\6.5.6 Packet Tracer - Configure Dynamic NAT.pka,653425,AA02714749C243B41F518E1D0735074956835C7A28EBBAFF43F5E5F7A0CFB628
14,14-NAT-va-PAT,6.6.7 Packet Tracer - Configure PAT.pka,PKA,ccna-lap-s2\6.6.7 Packet Tracer - Configure PAT.pka,595436,B8C949C0366ADE77E95384367B62E9228842CBBB9E738316158211A0B99BE97A
14,14-NAT-va-PAT,6.8.1 Packet Tracer - Configure NAT for IPv4.pka,PKA,ccna-lap-s2\6.8.1 Packet Tracer - Configure NAT for IPv4.pka,1164402,5C7CDF228B00FBBF58A3FAFE570410929B7CED239D75CDA97324AD17ED492D39
14,14-NAT-va-PAT,Dynamic_nat.pkt,PKT,ccna-lap-s2\Dynamic_nat.pkt,101906,C191789478A1509E67AC26860A4BB7714550F8F3A6BC8067BD71FD8D0A7BBFBB
14,14-NAT-va-PAT,nat_port.pkt,PKT,ccna-lap-s2\nat_port.pkt,102086,3DBED46247267620FF5807D29A2B6A431DFA405350FB7704C4CA6DB601A5B969
14,14-NAT-va-PAT,static_nat.pkt,PKT,ccna-lap-s2\static_nat.pkt,75363,39895214ECFC439F2209823F39291DF3B1D1F22BC8D8B66BACFA303251F71780
15,15-Wireless-WLAN,13.1.10 Packet Tracer - Configure a Wireless Network.pka,PKA,S2_SRWE v7 Packet Tracer Activity Source Files\13.1.10 Packet Tracer - Configure a Wireless Network.pka,734354,126DCAC9560F32E498665083F38EA5700AB3F0BA34AC6968AD31CD3E9578D97E
15,15-Wireless-WLAN,13.2.7 Packet Tracer - Configure a Basic WLAN on the WLC.pka,PKA,S2_SRWE v7 Packet Tracer Activity Source Files\13.2.7 Packet Tracer - Configure a Basic WLAN on the WLC.pka,330146,61B96BD14CDFF79F92688AF4064D2E809459A7902344EEFEDE610A902A1EFD5E
15,15-Wireless-WLAN,13.3.12 Packet Tracer - Configure a WPA2 Enterprise WLAN on the WLC.pka,PKA,S2_SRWE v7 Packet Tracer Activity Source Files\13.3.12 Packet Tracer - Configure a WPA2 Enterprise WLAN on the WLC.pka,333279,10FEF903B32938485ED37E031AEE17131A1AD8177CC3030521B436AE92C0B9FE
15,15-Wireless-WLAN,13.4.5 Packet Tracer - Troubleshoot WLAN Issues.pka,PKA,S2_SRWE v7 Packet Tracer Activity Source Files\13.4.5 Packet Tracer - Troubleshoot WLAN Issues.pka,642049,44276917D5E53E1177541FB6656D6B3094E0AC8A225A46C9315DB4AA7CB9B3C2
15,15-Wireless-WLAN,13.5.1 Packet Tracer - WLAN Configuration.pka,PKA,S2_SRWE v7 Packet Tracer Activity Source Files\13.5.1 Packet Tracer - WLAN Configuration.pka,635339,D6200144576A89620BB78311F1678F5B6F51B8FE413E4D6274C852999CEEAD73
16,16-Bao-mat-thiet-bi-va-Switch,1.3.6 Packet Tracer - Configure SSH.pka,PKA,S2_SRWE v7 Packet Tracer Activity Source Files\1.3.6 Packet Tracer - Configure SSH.pka,578560,6528668837506CF9716F0256908AA147E15745A8526108871EEF7FD6E91A21ED
16,16-Bao-mat-thiet-bi-va-Switch,11.1.10 Packet Tracer - Implement Port Security.pka,PKA,S2_SRWE v7 Packet Tracer Activity Source Files\11.1.10 Packet Tracer - Implement Port Security.pka,556855,55AD8C9B563969E6CDD4210DF83190C860DCDABC61A4D92F7897874C806059C9
16,16-Bao-mat-thiet-bi-va-Switch,11.6.1 Packet Tracer - Switch Security Configuration.pka,PKA,S2_SRWE v7 Packet Tracer Activity Source Files\11.6.1 Packet Tracer - Switch Security Configuration.pka,620953,B7E3AF8CE056F719A53AF506FCC2FD9C3313B805D04BC055A899775F120B010D
16,16-Bao-mat-thiet-bi-va-Switch,16.4.6 Packet Tracer - Configure Secure Passwords and SSH [ccna-lap-s2].pka,PKA,ccna-lap-s2\16.4.6 Packet Tracer - Configure Secure Passwords and SSH.pka,389442,B440F22FB70559FE3F1759AE5374CA46663F863167FB0C97B2EAAECA47E4BEF9
16,16-Bao-mat-thiet-bi-va-Switch,16.4.6 Packet Tracer - Configure Secure Passwords and SSH [S1_ITN v7 Packet Tracer Activity Source Files].pka,PKA,S1_ITN v7 Packet Tracer Activity Source Files\16.4.6 Packet Tracer - Configure Secure Passwords and SSH.pka,358649,98AD1627BAD7514176EB9C6311AD940E8E3038B3C0C59588EB7936431CE40B0F
16,16-Bao-mat-thiet-bi-va-Switch,16.5.1 Packet Tracer - Secure Network Devices.pka,PKA,S1_ITN v7 Packet Tracer Activity Source Files\16.5.1 Packet Tracer - Secure Network Devices.pka,257759,5E435AE75878FDDF1CCAB5369CCD2B114E9D6BD63F926BCA40B52C99E80C9A09
17,17-Quan-tri-mang,10.1.5 Packet Tracer - Use CDP to Map a Network.pka,PKA,ccna-lap-s3\10.1.5 Packet Tracer - Use CDP to Map a Network.pka,593128,2336166D3449D29CB77A7823E6D0A8C5B547AA9FD4CCD61583F0CB8E66DD216F
17,17-Quan-tri-mang,10.2.6  Packet Tracer - Use LLDP to Map a Network.pka,PKA,ccna-lap-s3\10.2.6  Packet Tracer - Use LLDP to Map a Network.pka,517787,B33628BCB0816B7F46E1F6BBF80E81E34F5A06F11056041BE7EB801EF7043067
17,17-Quan-tri-mang,10.3.4 Packet Tracer - Configure and Verify NTP.pka,PKA,ccna-lap-s3\10.3.4 Packet Tracer - Configure and Verify NTP.pka,528170,E877ECD64194053AC4024863F0CD2D4D3D8CD2376B6BB7A90817526AC1082BED
17,17-Quan-tri-mang,10.6.10 Packet Tracer - Back Up Configuration Files.pka,PKA,ccna-lap-s3\10.6.10 Packet Tracer - Back Up Configuration Files.pka,546990,69860AEF4AF432C4DE03E385FBB9C083D7022F9E5E25E4AD9DA1F5F5BF88BBEC
17,17-Quan-tri-mang,10.7.6 Packet Tracer - Use a TFTP Server to Upgrade a Cisco IOS Image.pka,PKA,ccna-lap-s3\10.7.6 Packet Tracer - Use a TFTP Server to Upgrade a Cisco IOS Image.pka,433205,565EA7E410E528CCA014E55338D7E974FE1015920A7016A82AC6073EEA8D79F5
17,17-Quan-tri-mang,"10.8.1 Packet Tracer - Configure CDP, LLDP, and NTP.pka",PKA,"ccna-lap-s3\10.8.1 Packet Tracer - Configure CDP, LLDP, and NTP.pka",563248,E42776378D1F588C15E60E24649D5911E325898DF2C5CAEEF1B52F826C535CB6
18,18-Kiem-tra-va-xu-ly-su-co,10.3.5 Packet Tracer - Troubleshoot Default Gateway Issues.pka,PKA,S1_ITN v7 Packet Tracer Activity Source Files\10.3.5 Packet Tracer - Troubleshoot Default Gateway Issues.pka,326441,B0651A317DD736C0FF4BD91C3B050E4F363890C589BD2E28A282DB82E23059EF
18,18-Kiem-tra-va-xu-ly-su-co,13.2.7 Packet Tracer - Use Ping and Traceroute to Test Network Connectivity.pka,PKA,S1_ITN v7 Packet Tracer Activity Source Files\13.2.7 Packet Tracer - Use Ping and Traceroute to Test Network Connectivity.pka,732091,F81F4B0E8E63A89EBCBE5D02A88A882BAA948A9E47C5B77524A8D6455E6BF64C
18,18-Kiem-tra-va-xu-ly-su-co,13.3.1 Packet Tracer - Use ICMP to Test and Correct Network Connectivity.pka,PKA,S1_ITN v7 Packet Tracer Activity Source Files\13.3.1 Packet Tracer - Use ICMP to Test and Correct Network Connectivity.pka,549226,3D1CA25FC30826C9EC974F94E444C123ADC2624813293C91E9EEB70972AD7E15
18,18-Kiem-tra-va-xu-ly-su-co,17.5.9 Packet Tracer - Interpret show Command Output.pka,PKA,S1_ITN v7 Packet Tracer Activity Source Files\17.5.9 Packet Tracer - Interpret show Command Output.pka,671420,41C21A974FF96ECAD22D3C982AF47D298F4294C4B9E2104E1C18C4376E408681
18,18-Kiem-tra-va-xu-ly-su-co,17.7.7 Packet Tracer - Troubleshoot Connectivity Issues.pka,PKA,S1_ITN v7 Packet Tracer Activity Source Files\17.7.7 Packet Tracer - Troubleshoot Connectivity Issues.pka,639683,68F30BB3A86784BC2EAEE6EDFA82AAD032E5A526BCD48B229112232EFBEEC37E
18,18-Kiem-tra-va-xu-ly-su-co,17.8.3 Packet Tracer - Troubleshooting Challenge.pka,PKA,S1_ITN v7 Packet Tracer Activity Source Files\17.8.3 Packet Tracer - Troubleshooting Challenge.pka,382479,ACD1E85F8C0B588123CA50F791943D9BF50F23EDAFF8BAEEF28C8BBC865DDD3C
19,19-WAN,7.6.1 Packet Tracer - WAN Concepts.pka,PKA,ccna-lap-s3\7.6.1 Packet Tracer - WAN Concepts.pka,1284301,CC69044E08E7D3774657770D21A1267EC7171146C319E04FF3A021F26AB83E09
